mysql> select * from weightsensor_sensordaily where tagid="5a-c2-15-0b-00-01";
+-------+-------------------+---------------------+---------------+----------+---------+----------------------------+
| id    | tagid             | reading             | distancelader | dcstatus | battery | timestamp                  |
| 16872 | 5a-c2-15-0b-00-01 |  0.8389999999999986 |          1000 |        0 |     100 | 2023-02-04 19:53:03.903302 |
| 16873 | 5a-c2-15-0b-00-01 |  1.1450000000000102 |          1000 |        1 |     100 | 2023-02-04 19:54:34.733311 |
| 16874 | 5a-c2-15-0b-00-01 | 0.39400000000000546 |          1000 |        1 |     100 | 2023-02-04 19:55:13.296845 |
| 16875 | 5a-c2-15-0b-00-01 |  0.2980000000000018 |          1000 |        0 |     100 | 2023-02-04 19:55:39.571008 |
| 16876 | 5a-c2-15-0b-00-01 |  1.5579999999999927 |          1000 |        1 |     100 | 2023-02-04 19:57:22.942594 |
| 16877 | 5a-c2-15-0b-00-01 |  0.8010000000000161 |          1000 |        0 |     100 | 2023-02-04 19:57:52.310974 |
| 16878 | 5a-c2-15-0b-00-01 |  1.0589999999999975 |          1000 |        1 |     100 | 2023-02-04 19:58:57.469591 |
| 16879 | 5a-c2-15-0b-00-01 |  0.6030000000000086 |          1000 |        1 |     100 | 2023-02-04 20:00:05.246057 |
| 16880 | 5a-c2-15-0b-00-01 |  1.0819999999999936 |          1000 |        1 |     100 | 2023-02-04 20:00:48.257177 |
| 16881 | 5a-c2-15-0b-00-01 | 0.46999999999999886 |          1000 |        1 |     100 | 2023-02-04 20:01:55.902403 |
| 16882 | 5a-c2-15-0b-00-01 |  0.7090000000000032 |          1000 |        1 |     100 | 2023-02-04 20:02:34.371142 |
| 16883 | 5a-c2-15-0b-00-01 | 0.38399999999998613 |          1000 |        1 |     100 | 2023-02-04 20:03:17.503266 |
| 16884 | 5a-c2-15-0b-00-01 | 0.44199999999997885 |          1000 |        1 |     100 | 2023-02-04 20:04:51.029207 |
| 16885 | 5a-c2-15-0b-00-01 |   0.664999999999992 |          1000 |        1 |     100 | 2023-02-04 20:07:02.782680 |
| 16886 | 5a-c2-15-0b-00-01 |  0.8669999999999902 |          1000 |        1 |     100 | 2023-02-04 20:08:31.888688 |
| 16887 | 5a-c2-15-0b-00-01 |  0.4550000000000125 |          1000 |        0 |     100 | 2023-02-04 20:08:53.732775 |
| 16888 | 5a-c2-15-0b-00-01 |   1.068000000000012 |          1000 |        1 |     100 | 2023-02-04 20:11:23.949273 |
| 16889 | 5a-c2-15-0b-00-01 |  0.3199999999999932 |          1000 |        1 |     100 | 2023-02-04 20:11:50.013347 |
| 16890 | 5a-c2-15-0b-00-01 |  0.5579999999999927 |          1000 |        1 |     100 | 2023-02-04 20:14:21.284157 |
| 16891 | 5a-c2-15-0b-00-01 |  0.6020000000000039 |          1000 |        1 |     100 | 2023-02-04 20:17:21.929082 |
| 16892 | 5a-c2-15-0b-00-01 |  0.9470000000000027 |          1000 |        1 |     100 | 2023-02-04 20:18:52.848753 |
| 16893 | 5a-c2-15-0b-00-01 | 0.47999999999998977 |          1000 |        1 |     100 | 2023-02-04 20:19:31.411055 |
| 16894 | 5a-c2-15-0b-00-01 | 0.24500000000000455 |          1000 |        1 |     100 | 2023-02-04 20:21:00.539202 |
| 16895 | 5a-c2-15-0b-00-01 | 0.33500000000000796 |          1000 |        1 |     100 | 2023-02-04 20:24:50.447361 |
| 16896 | 5a-c2-15-0b-00-01 |  0.7089999999999748 |          1000 |        1 |     100 | 2023-02-04 20:25:31.807687 |
| 16897 | 5a-c2-15-0b-00-01 |  3.3479999999999848 |          1000 |        1 |     100 | 2023-02-04 20:26:47.738936 |
| 16898 | 5a-c2-15-0b-00-01 |  0.5180000000000007 |          1000 |        1 |     100 | 2023-02-04 20:31:27.960968 |
| 16899 | 5a-c2-15-0b-00-01 |  0.4240000000000066 |          1000 |        1 |     100 | 2023-02-04 20:41:58.382155 |
| 16900 | 5a-c2-15-0b-00-01 | 0.20900000000000318 |          1000 |        1 |     100 | 2023-02-04 21:08:56.707777 |
| 16901 | 5a-c2-15-0b-00-01 | 0.33199999999999363 |          1000 |        1 |     100 | 2023-02-06 11:19:06.567238 |
| 16902 | 5a-c2-15-0b-00-01 |  12.765999999999991 |          1000 |        1 |     100 | 2023-02-06 13:59:39.351035 |
| 16906 | 5a-c2-15-0b-00-01 |   3.494999999999976 |          1000 |        0 |     100 | 2023-02-06 13:59:56.490144 |
| 16907 | 5a-c2-15-0b-00-01 |   3.709000000000003 |          1000 |        1 |     100 | 2023-02-06 14:02:13.720002 |
| 16908 | 5a-c2-15-0b-00-01 | 0.20000000000001705 |          1000 |        0 |     100 | 2023-02-06 14:02:35.122430 |
| 16909 | 5a-c2-15-0b-00-01 |  0.9519999999999982 |          1000 |        1 |     100 | 2023-02-06 14:02:56.834765 |
| 16910 | 5a-c2-15-0b-00-01 |  1.1759999999999877 |          1000 |        0 |     100 | 2023-02-06 14:03:18.196129 |
| 16911 | 5a-c2-15-0b-00-01 |   1.899000000000001 |          1000 |        0 |     100 | 2023-02-06 14:04:44.473806 |
| 16912 | 5a-c2-15-0b-00-01 |  2.7390000000000043 |          1000 |        0 |     100 | 2023-02-06 14:09:53.605925 |
| 16913 | 5a-c2-15-0b-00-01 |  3.6289999999999907 |          1000 |        0 |     100 | 2023-02-06 14:11:19.986030 |
| 16914 | 5a-c2-15-0b-00-01 |   4.530000000000001 |          1000 |        0 |     100 | 2023-02-06 14:13:29.328290 |
| 16915 | 5a-c2-15-0b-00-01 |   4.736999999999995 |          1000 |        0 |     100 | 2023-02-06 14:20:23.352358 |
| 16916 | 5a-c2-15-0b-00-01 |   5.070000000000022 |          1000 |        0 |     100 | 2023-02-06 14:20:44.677170 |
| 16917 | 5a-c2-15-0b-00-01 |   5.543000000000006 |          1000 |        0 |     100 | 2023-02-06 14:21:06.631677 |
| 16918 | 5a-c2-15-0b-00-01 |  5.9950000000000045 |          1000 |        0 |     100 | 2023-02-06 14:23:16.789847 |
| 16919 | 5a-c2-15-0b-00-01 |   6.231999999999999 |          1000 |        0 |     100 | 2023-02-06 14:24:22.186984 |
